FEMA No. and Substance,Beverages (ppm),Density
"2321 *CLARY, OIL",1.8,0.908
"2322 *CLOVE BUD, EXTRACT",16,1
"2323 *CLOVE BUD, OIL",3.1,1.061
"2324 *CLOVE BUD, OLEORESIN",-,1.055
"2325 *CLOVE LEAF, OIL",8.6,1.06
"2326 *CLOVER TOPS, RED, EXTRACT SOLID",2,1
2327 *CLOVES—Eugenia caryophyllata,"1,000.00",0.6
"2328 *CLOVE STEM, OIL",5.9,1.06
"2329 *COCA LEAF, EXTRACT (DECOCAINIZED)",200,1
2330 COCHINEAL,100,1.38
"2331 *COGNAC, GREEN, OIL",5.2,0.872
"2332 *COGNAC, WHITE, OIL",5.6,0.871
2333 *CORIANDER,7.4,1
"2334 *CORIANDER, OIL",3.1,0.875
2335 *CORN SILK,28,1
"2336 COSTUS ROOT, OIL",0.08,1.033
2337 p-CRESOL,0.67,1.035
2338 CUBEBS,800,1
"2339 CUBEBS, OIL",2.4,0.93
2340 *CUMIN,-,1
2341 CUMINALDEHYDE,3.1,0.976
"2342 *CUMIN, BLACK",-,1
"2343 *CUMIN, OIL",0.48,0.93
"2344 *CURACAO PEEL, EXTRACT","1,700.00",1
"2345 *CURACAO PEEL, OIL",33,0.852
"2346 CURRANT BUDS, BLACK, ABSOLUTE",4.7,1
2347 CYCLOHEXANEACETIC ACID,1,1.009
2348 CYCLOHEXANEETHYL ACETATE,2,0.957
2349 CYCLOHEXYL ACETATE,20,0.97
2350 CYCLOHEXYL ANTHRANILATE,10,1.1
2351 CYCLOHEXYL BUTYRATE,3.9,0.957
2352 CYCLOHEXYL CINNAMATE,2,1.1
2353 CYCLOHEXYL FORMATE,11,0.994
2354 CYCLOHEXYL PROPIONATE,2.4,0.97
2355 CYCLOHEXYL iso-VALERATE,13,0.949
2356 p-CYMENE,3.3,0.86
"2357 *DANDELION, FLUID EXTRACT",35,1
"2358 *DANDELION ROOT, EXTRACT SOLID",10,1
"2359 DAVANA, OIL",3,0.99
